,Unnamed: 0.1,Unnamed: 0,Wavelength,Ruby Intensity,Wavelength(nm),No Ruby Intensity,Transmission,Intensity_measurement_error,Transmission_error
256,256,256,418.517,411.7,418.517,804.68,0.511631953,0.01,0.511632+/-0.000014
257,257,257,418.731,433.54,418.731,860.66,0.503729696,0.01,0.503730+/-0.000013
258,258,258,418.945,448.56,418.945,843.59,0.531727498,0.01,0.531727+/-0.000013
259,259,259,419.159,483.38,419.159,787.61,0.613730146,0.01,0.613730+/-0.000015
260,260,260,419.374,410.33,419.374,778.06,0.527375781,0.01,0.527376+/-0.000015
261,261,261,419.588,447.88,419.588,801.95,0.558488684,0.01,0.558489+/-0.000014
262,262,262,419.802,465.63,419.802,842.91,0.55240773,0.01,0.552408+/-0.000014
263,263,263,420.016,450.61,420.016,829.26,0.543388081,0.01,0.543388+/-0.000014
264,264,264,420.231,451.98,420.231,866.8,0.521435164,0.01,0.521435+/-0.000013
265,265,265,420.445,479.28,420.445,902.3,0.531175884,0.01,0.531176+/-0.000013
266,266,266,420.659,474.5,420.659,841.54,0.563847232,0.01,0.563847+/-0.000014
267,267,267,420.873,516.15,420.873,889.33,0.580380736,0.01,0.580381+/-0.000013
268,268,268,421.087,473.14,421.087,917.32,0.515785113,0.01,0.515785+/-0.000012
269,269,269,421.301,487.47,421.301,918.0,0.531013072,0.01,0.531013+/-0.000012
270,270,270,421.516,463.58,421.516,912.54,0.508010608,0.01,0.508011+/-0.000012
271,271,271,421.73,477.23,421.73,913.91,0.522184898,0.01,0.522185+/-0.000012
272,272,272,421.944,516.15,421.944,870.9,0.592662763,0.01,0.592663+/-0.000013
273,273,273,422.158,518.19,422.158,952.82,0.543848786,0.01,0.543849+/-0.000012
274,274,274,422.372,468.36,422.372,948.72,0.493675689,0.01,0.493676+/-0.000012
275,275,275,422.586,542.77,422.586,913.22,0.594347474,0.01,0.594347+/-0.000013
276,276,276,422.8,524.34,422.8,989.68,0.529807615,0.01,0.529808+/-0.000011
277,277,277,423.014,507.27,423.014,956.23,0.530489527,0.01,0.530490+/-0.000012
278,278,278,423.228,556.42,423.228,924.15,0.602088406,0.01,0.602088+/-0.000013
279,279,279,423.442,531.16,423.442,955.55,0.555868348,0.01,0.555868+/-0.000012
280,280,280,423.656,571.44,423.656,982.17,0.581813739,0.01,0.581814+/-0.000012
281,281,281,423.87,581.68,423.87,965.79,0.60228414,0.01,0.602284+/-0.000012
282,282,282,424.084,530.48,424.084,1005.38,0.52764129,0.01,0.527641+/-0.000011
283,283,283,424.298,574.85,424.298,1010.16,0.569068266,0.01,0.569068+/-0.000011
284,284,284,424.512,531.85,424.512,1059.31,0.502072104,0.01,0.502072+/-0.000011
285,285,285,424.726,523.65,424.726,1038.15,0.504406878,0.01,0.504407+/-0.000011
286,286,286,424.94,565.3,424.94,1040.2,0.543453182,0.01,0.543453+/-0.000011
287,287,287,425.154,538.67,425.154,1061.36,0.507528077,0.01,0.507528+/-0.000011
